,LONGITUDE,LATITUDE,MUN_NAME,WARD_NAME
158124,-79.4442416547,43.6814737392,former Toronto,Davenport
226957,-79.4922545513,43.7490625061,North York,York Centre
470717,-79.1832194905,43.75832674,Scarborough,Scarborough-Guildwood
138575,-79.4082837601,43.6473773144,former Toronto,Spadina-Fort York
492034,-79.1794530191,43.7602374972,Scarborough,Scarborough-Rouge Park
475684,-79.2183747402,43.7897629243,Scarborough,Scarborough-Guildwood
423840,-79.2351662438,43.7485732965,Scarborough,Scarborough Centre
33440,-79.5518011668,43.7061091396,Etobicoke,Etobicoke North
501587,-79.1816809114,43.8057494718,Scarborough,Scarborough-Rouge Park
309407,-79.31626104,43.6737506331,former Toronto,Beaches-East York
262100,-79.4341374694,43.7657775323,North York,Willowdale
33341,-79.384245107,43.801530433,North York,Don Valley North
435984,-79.2394869287,43.7985844696,Scarborough,Scarborough North
524744,-79.40110002,43.646281163,former Toronto,Spadina-Fort York
172589,-79.4462200274,43.7045406743,North York,Eglinton-Lawrence
137589,-79.413546608,43.6433652805,former Toronto,Spadina-Fort York
180737,-79.4020011358,43.6828380584,former Toronto,Toronto-St. Paul's
160276,-79.4517822021,43.6850535437,York,Davenport
190010,-79.3999566207,43.7191344471,former Toronto,Don Valley West
513659,-79.268082376,43.749290378,Scarborough,Scarborough Centre
352470,-79.3024835576,43.7133993265,East York,Beaches-East York
396568,-79.359725787,43.789441229,North York,Don Valley North
115610,-79.4245528538,43.6428824291,former Toronto,Davenport
322027,-79.3674936291,43.7079508882,East York,Don Valley West
289183,-79.367468956,43.664783363,former Toronto,Toronto Centre
380216,-79.3093269775,43.7293853074,North York,Don Valley East
441568,-79.2760408616,43.8033810604,Scarborough,Scarborough North
239753,-79.4399450375,43.7342180024,North York,York Centre
513958,-79.181202405,43.807126416,Scarborough,Scarborough-Rouge Park
24013,-79.535314938,43.6673373445,Etobicoke,Etobicoke Centre
163370,-79.4371819497,43.6894625752,York,Toronto-St. Paul's
144703,-79.4045998294,43.6562478826,former Toronto,University-Rosedale
185563,-79.4139705403,43.7032111139,former Toronto,Toronto-St. Paul's
256063,-79.393213993,43.72722349,former Toronto,Don Valley West
317075,-79.3473828384,43.6862533229,East York,Toronto-Danforth
77529,-79.4654989137,43.6657696032,former Toronto,Parkdale-High Park
262171,-79.4420072756,43.767931941,North York,York Centre
224435,-79.5197367044,43.7546717567,North York,Humber River-Black Creek
227425,-79.506001428,43.7546013587,North York,Humber River-Black Creek
378359,-79.353790027,43.7452722,North York,Don Valley East
521008,-79.477675879,43.651585269,former Toronto,Parkdale-High Park
352233,-79.2949496067,43.7105723886,Scarborough,Scarborough Southwest
33028,-79.5424164714,43.6940041956,Etobicoke,Etobicoke Centre
248889,-79.4246710499,43.7451641483,North York,York Centre
149314,-79.410849096,43.6635243513,former Toronto,University-Rosedale
43756,-79.5121873041,43.6247801636,Etobicoke,Etobicoke-Lakeshore
214038,-79.5581306871,43.7493231503,North York,Humber River-Black Creek
333080,-79.3224960568,43.679932553,former Toronto,Toronto-Danforth
138220,-79.4142695739,43.6425254603,former Toronto,Spadina-Fort York
61601,-79.4989711929,43.6721322257,York,York South-Weston
449605,-79.2911475996,43.8197445892,Scarborough,Scarborough North
522755,-79.49110308,43.610753225,Etobicoke,Etobicoke-Lakeshore
517456,-79.357265394,43.662685149,former Toronto,Toronto Centre
466114,-79.2207283128,43.7406790782,Scarborough,Scarborough Southwest
50307,-79.4411295787,43.6388169952,former Toronto,Parkdale-High Park
283061,-79.3625107627,43.6484351168,former Toronto,Spadina-Fort York
125388,-79.4346535732,43.668564965,former Toronto,Davenport
298805,-79.3413238369,43.6613625573,former Toronto,Toronto-Danforth
302191,-79.340166264,43.670625747,former Toronto,Toronto-Danforth
270276,-79.4158449802,43.7952249361,North York,Willowdale
139588,-79.3980028579,43.6422896562,former Toronto,Spadina-Fort York
131586,-79.4255920133,43.6676219593,former Toronto,University-Rosedale
401884,-79.3521911537,43.7886589597,North York,Don Valley North
215781,-79.54188383,43.7424294763,North York,Humber River-Black Creek
382285,-79.308126745,43.7399748227,Scarborough,Scarborough Centre
405863,-79.3014572881,43.7270708607,Scarborough,Scarborough Centre
486732,-79.196201591,43.760814539,Scarborough,Scarborough-Guildwood
16291,-79.5547667343,43.6432493057,Etobicoke,Etobicoke Centre
512716,-79.38534709,43.74672217,North York,Don Valley West
230463,-79.4595607119,43.7209423515,North York,Eglinton-Lawrence
93451,-79.4880535779,43.6830954993,York,York South-Weston
221446,-79.4961845716,43.7318921406,North York,York Centre
124798,-79.441075454,43.665682587,former Toronto,Davenport
433990,-79.2443101394,43.7649290966,Scarborough,Scarborough-Guildwood
271558,-79.411550756,43.775199399,North York,Willowdale
110774,-79.4348652745,43.6444438203,former Toronto,Parkdale-High Park
53986,-79.515481501,43.6397970125,Etobicoke,Etobicoke-Lakeshore
440541,-79.244350485,43.76777865,Scarborough,Scarborough-Guildwood
129817,-79.426220696,43.659662523,former Toronto,Davenport
201391,-79.5935400052,43.7333703347,Etobicoke,Etobicoke North
184836,-79.3965712685,43.6924306923,former Toronto,Toronto-St. Paul's
466611,-79.2058348661,43.740804816,Scarborough,Scarborough-Guildwood
429907,-79.2862348739,43.7817444997,Scarborough,Scarborough-Agincourt
500289,-79.2180183659,43.8251647618,Scarborough,Scarborough-Rouge Park
496838,-79.2150523829,43.8176287165,Scarborough,Scarborough-Rouge Park
514873,-79.268204671,43.741852053,Scarborough,Scarborough Centre
18830,-79.536576266,43.6470562861,Etobicoke,Etobicoke-Lakeshore
416538,-79.2696666351,43.7379997073,Scarborough,Scarborough Centre
413369,-79.2819344787,43.7454087549,Scarborough,Scarborough Centre
418826,-79.2389105757,43.7217350778,Scarborough,Scarborough Southwest
170287,-79.4246637285,43.6865258733,York,Toronto-St. Paul's
72642,-79.4821598961,43.6648993616,former Toronto,Parkdale-High Park
445725,-79.2382607265,43.78035219,Scarborough,Scarborough-Guildwood
283647,-79.3693656957,43.6514011196,former Toronto,Toronto Centre
523808,-79.481421167,43.666589987,former Toronto,Parkdale-High Park
294920,-79.3523086366,43.6755266754,former Toronto,Toronto-Danforth
158503,-79.4480514995,43.6840691602,former Toronto,Davenport
473858,-79.2202350166,43.7714820544,Scarborough,Scarborough-Guildwood
276013,-79.3967559245,43.77802617,North York,Willowdale
433312,-79.277467368,43.7953379548,Scarborough,Scarborough North
8790,-79.5272195,43.6246085316,Etobicoke,Etobicoke-Lakeshore
360245,-79.3058942211,43.6897509599,former Toronto,Beaches-East York
273265,-79.4013836676,43.7729560378,North York,Willowdale
289488,-79.3654770775,43.6652585643,former Toronto,Toronto Centre
153002,-79.4005091129,43.6735751124,former Toronto,University-Rosedale
141706,-79.413858796,43.654520812,former Toronto,University-Rosedale
398167,-79.2728655083,43.7288762749,Scarborough,Scarborough Southwest
331551,-79.3262456155,43.6932045706,East York,Beaches-East York
271598,-79.4042170591,43.76629772,North York,Willowdale
266221,-79.419633323,43.7733424036,North York,Willowdale
62772,-79.4802409605,43.6438598132,former Toronto,Parkdale-High Park
238208,-79.4555793367,43.782272489,North York,York Centre
342737,-79.3185868838,43.7081330018,East York,Beaches-East York
421625,-79.2606084611,43.7563084985,Scarborough,Scarborough Centre
412839,-79.2989673801,43.8020722518,Scarborough,Scarborough-Agincourt
448592,-79.2771273811,43.8188072367,Scarborough,Scarborough North
