,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
25915,Boston,42.348724,-71.071495,28.634125,1,POINT (-71.071495 42.348724),54998,Residential
1131,Boston,42.288597,-71.06568100000001,26.525396,1,POINT (-71.06568100000001 42.288597),55642,Residential
121773,Boston,42.295563,-71.138023,29.614868,1,POINT (-71.138023 42.295563),54450,Residential
7005,Boston,42.312973,-71.076004,30.076191,1,POINT (-71.076004 42.312973),55523,Residential
6342,Boston,42.311348,-71.060051,26.038879,1,POINT (-71.060051 42.311348),55604,Residential
5781,Boston,42.309723,-71.065872,26.43112,1,POINT (-71.065872 42.309723),55664,Residential
22036,Boston,42.343201,-71.09832800000002,27.570026,1,POINT (-71.09832800000002 42.343201),55181,Residential
103493,Boston,42.266312,-71.12001,28.642767,1,POINT (-71.12000999999999 42.266312),54331,Residential
126423,Boston,42.307686,-71.112633,27.756428000000003,1,POINT (-71.112633 42.307686),54249,Residential
8819,Boston,42.317524,-71.05836500000002,30.479181,1,POINT (-71.05836500000002 42.317524),55584,Residential
92695,Boston,42.252338,-71.113815,25.861774,1,POINT (-71.113815 42.252338),54429,Residential
12991,Boston,42.328251,-71.055176,29.532661,1,POINT (-71.055176 42.328251),55410,Residential
103972,Boston,42.266964,-71.166542,27.498667,1,POINT (-71.16654200000001 42.266964),54449,Residential
10555,Boston,42.321751,-71.108459,25.144333,1,POINT (-71.108459 42.321751),55836,Residential
1121,Boston,42.288597,-71.060051,27.360399,1,POINT (-71.060051 42.288597),55677,Residential
119007,Boston,42.289387,-71.112686,30.009539,1,POINT (-71.112686 42.289387),54238,Residential
19565,Boston,42.339298,-71.155373,30.903032,1,POINT (-71.155373 42.339298),55373,Residential
11091,Boston,42.323376,-71.078629,28.579039,1,POINT (-71.07862900000001 42.323376),55544,Residential
40480,Boston,42.371799,-71.037537,28.464418,1,POINT (-71.037537 42.371799),55499,Residential
115858,Boston,42.283863,-71.139145,28.852461,1,POINT (-71.139145 42.283863),54250,Residential
127523,Boston,42.310276,-71.11751600000002,31.420519,1,POINT (-71.11751600000002 42.310276),55823,Residential
5938,Boston,42.310047,-71.099083,29.006952,1,POINT (-71.09908299999999 42.310047),55796,Residential
86954,Boston,42.244537,-71.123199,28.086567,1,POINT (-71.123199 42.244537),54430,Residential
246,Boston,42.281773,-71.054611,30.712496,1,POINT (-71.05461099999999 42.281773),55703,Residential
93212,Boston,42.252987,-71.13108100000002,27.265558,1,POINT (-71.13108100000002 42.252987),54363,Residential
100519,Boston,42.262413,-71.113625,26.360628,1,POINT (-71.113625 42.262413),54331,Residential
126974,Boston,42.308975,-71.11526500000002,27.81175,1,POINT (-71.11526500000002 42.308975),55811,Residential
1156,Boston,42.288925,-71.05011,30.176773,1,POINT (-71.05011 42.288925),55721,Residential
19727,Boston,42.339298,-71.145615,27.344021,1,POINT (-71.14561500000001 42.339298),55363,Residential
17172,Boston,42.3354,-71.091202,29.538658,1,POINT (-71.091202 42.3354),55031,Residential
91464,Boston,42.250713,-71.141396,25.497822,1,POINT (-71.141396 42.250713),54385,Residential
26789,Boston,42.349697,-71.155746,25.366194,1,POINT (-71.15574599999999 42.349697),55295,Residential
115054,Boston,42.282562,-71.164291,27.289345,1,POINT (-71.16429100000001 42.282562),54446,Residential
10250,Boston,42.321098,-71.07243299999998,25.410072,1,POINT (-71.07243299999998 42.321098),54754,Residential
105901,Boston,42.26989,-71.13069899999998,30.72995,1,POINT (-71.13069899999998 42.26989),54363,Residential
118350,Boston,42.28809,-71.118317,27.867304,1,POINT (-71.118317 42.28809),54239,Residential
113317,Boston,42.279964,-71.071968,27.344753000000004,1,POINT (-71.071968 42.279964),55631,Residential
22264,Boston,42.343525,-71.09626800000002,36.106289,1,POINT (-71.09626800000002 42.343525),55181,Residential
120015,Boston,42.29134000000001,-71.122826,29.623945000000006,1,POINT (-71.122826 42.29134000000001),54268,Residential
3224,Boston,42.298676,-71.071495,26.033014,1,POINT (-71.071495 42.298676),55654,Residential
10046,Boston,42.32045,-71.09607700000002,26.962973,1,POINT (-71.09607700000002 42.32045),54733,Residential
101060,Boston,42.263062,-71.11700400000002,27.633158,1,POINT (-71.11700400000002 42.263062),54344,Residential
30824,Boston,42.356197,-71.070938,30.191137,1,POINT (-71.070938 42.356197),55197,Residential
18147,Boston,42.337025,-71.08087900000002,31.314688,1,POINT (-71.08087900000002 42.337025),54517,Residential
108627,Boston,42.273464,-71.086609,27.127989000000003,1,POINT (-71.086609 42.273464),54652,Residential
21569,Boston,42.342548,-71.070183,26.717104,1,POINT (-71.070183 42.342548),54890,Residential
111448,Boston,42.277363,-71.09111,25.694296,1,POINT (-71.09111 42.277363),54674,Residential
32509,Boston,42.358799,-71.136612,31.269888,1,POINT (-71.136612 42.358799),55321,Residential
6057,Boston,42.310375,-71.102272,25.115007,1,POINT (-71.102272 42.310375),55791,Residential
1185,Boston,42.288925,-71.06624599999998,27.497332,1,POINT (-71.06624599999998 42.288925),55643,Residential
9041,Boston,42.317848,-71.111465,31.039152,1,POINT (-71.111465 42.317848),55836,Residential
107854,Boston,42.272488,-71.071411,25.691612,1,POINT (-71.071411 42.272488),55632,Residential
95247,Boston,42.255589,-71.113068,29.130863,1,POINT (-71.113068 42.255589),54429,Residential
6396,Boston,42.311348,-71.091576,25.106907,1,POINT (-71.091576 42.311348),54752,Residential
125132,Boston,42.304989,-71.127701,26.45368,1,POINT (-71.127701 42.304989),54244,Residential
112781,Boston,42.279312,-71.097862,26.598837,1,POINT (-71.09786200000001 42.279312),54645,Residential
114067,Boston,42.281261,-71.079475,28.908865,1,POINT (-71.079475 42.281261),55613,Residential
119376,Boston,42.290039,-71.136703,27.49604,1,POINT (-71.136703 42.290039),54265,Residential
123349,Boston,42.300114,-71.10799399999998,25.582424,1,POINT (-71.10799399999998 42.300114),55813,Residential
30037,Boston,42.354572,-71.16532099999998,27.694540000000003,1,POINT (-71.16532099999998 42.354572),55375,Residential
110801,Boston,42.276386,-71.119446,27.488317,1,POINT (-71.119446 42.276386),54250,Residential
5037,Boston,42.307125,-71.065117,26.122196,1,POINT (-71.065117 42.307125),55664,Residential
114999,Boston,42.282562,-71.132767,37.16943,1,POINT (-71.132767 42.282562),54250,Residential
103743,Boston,42.26664,-71.162598,26.04888,1,POINT (-71.162598 42.26664),54449,Residential
111765,Boston,42.277687,-71.14872,27.056694,1,POINT (-71.14872 42.277687),54445,Residential
915,Boston,42.2873,-71.0578,26.832594,1,POINT (-71.0578 42.2873),55691,Residential
124417,Boston,42.303093,-71.106277,27.504528000000004,1,POINT (-71.10627700000001 42.303093),55834,Residential
118714,Boston,42.288738,-71.136703,27.308840000000004,1,POINT (-71.136703 42.288738),54265,Residential
245,Boston,42.281773,-71.053864,28.400524,1,POINT (-71.053864 42.281773),55703,Residential
15279,Boston,42.332474,-71.0411,29.725321,1,POINT (-71.0411 42.332474),54595,Residential
21889,Boston,42.342873,-71.142799,29.425362,1,POINT (-71.142799 42.342873),55387,Residential
96559,Boston,42.25721400000001,-71.156036,26.50095,1,POINT (-71.156036 42.25721400000001),54439,Residential
114826,Boston,42.282238,-71.15471600000002,27.890375,1,POINT (-71.15471600000002 42.282238),54501,Residential
10276,Boston,42.321098,-71.087074,27.178232,1,POINT (-71.087074 42.321098),55550,Residential
95586,Boston,42.255913,-71.159409,27.409216,1,POINT (-71.159409 42.255913),54439,Residential
113466,Boston,42.280289,-71.137833,25.169052,1,POINT (-71.137833 42.280289),54250,Residential
113680,Boston,42.280613,-71.128265,26.298803000000003,1,POINT (-71.128265 42.280613),54250,Residential
113485,Boston,42.280289,-71.14909399999998,28.174543,1,POINT (-71.14909399999998 42.280289),54445,Residential
