,_file,copyright,date,location,pano_id,status,Unnamed: 0,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
495,gsv_495.jpg,© Google,2009-09-01,"{'lat': 42.31363128904967, 'lng': -71.06525119715701}",KD9LKfsTipWwFIlAfbJ7cQ,OK,7251,Boston,42.313625,-71.065117,26.838099,1,POINT (-71.065117 42.313625),55664,Residential
12586,gsv_12586.jpg,© Google,2018-09-01,"{'lat': 42.35776, 'lng': -71.1540212}",89iChlHQ_QvVjwOdckUNIg,OK,31919,Boston,42.357822,-71.15406,15.107071,0,POINT (-71.15406 42.357822),55396,Open Space
9760,gsv_9760.jpg,© Google,2018-08-01,"{'lat': 42.2967267, 'lng': -71.0794754}",0aMmb5VVJOKHed7dHR1mIQ,OK,2798,Boston,42.296721999999995,-71.079376,20.541639,0,POINT (-71.079376 42.296722),54675,Residential
9154,gsv_9154.jpg,© Google,2018-10-01,"{'lat': 42.2684783290767, 'lng': -71.16201803381423}",fjzjZUscBAT5WewlMBnFhA,OK,105044,Boston,42.268589,-71.162224,23.251663,0,POINT (-71.16222399999999 42.268589),54449,Residential
8316,gsv_8316.jpg,© Google,2013-08-01,"{'lat': 42.27764329433995, 'lng': -71.10704558637386}",l69H5FEY2q2zhvDSp3EBRQ,OK,111701,Boston,42.277687,-71.107063,22.60005,0,POINT (-71.107063 42.277687),54638,Residential
2163,gsv_2163.jpg,© Google,2018-07-01,"{'lat': 42.34949313980778, 'lng': -71.13937537236697}",jEP1EFGYzq9uXdie_G2WYA,OK,26520,Boston,42.349373,-71.13942,30.498013,1,POINT (-71.13942 42.349373),55387,Residential
9172,gsv_9172.jpg,© Google,2016-06-01,"{'lat': 42.27052278584964, 'lng': -71.10365986807427}",3aFBebHINKTiX2HVEzwDGw,OK,106348,Boston,42.270538,-71.10368299999998,21.476173,0,POINT (-71.10368299999998 42.270538),54665,Residential
14292,gsv_14292.jpg,© Google,2018-08-01,"{'lat': 42.34334728800992, 'lng': -71.03660896803008}",1A91FJ75loPbB3wY_gyjFA,OK,22171,Boston,42.343525,-71.036598,20.142195,0,POINT (-71.036598 42.343525),55417,Industrial
10069,gsv_10069.jpg,© Google,2018-10-01,"{'lat': 42.29108961834991, 'lng': -71.17385944274}",JNShzD2QLeJoDx-RfPAP6A,OK,119938,Boston,42.291012,-71.174049,28.278418,1,POINT (-71.174049 42.291012),54496,Open Space
846,gsv_846.jpg,© Google,2013-08-01,"{'lat': 42.27281117488175, 'lng': -71.1223124177085}",yEb8x86EWW9nXWvQLcg_6Q,OK,108177,Boston,42.272812,-71.122635,27.789831,1,POINT (-71.122635 42.272812),54308,Residential
